,X,GID,Date,Year,Month,Day,Source,SrcActor,SrcAgent,SOthAgent,Target,TgtActor,TgtAgent,TOthAgent,CAMEO,RootCode,QuadClass,Goldstein,None,Lat,Lon,Geoname,AdminInfo,CountryCode,ID,URL,sourcetxt
1778123,1778123,2193697_v1.2.0,20160424,2016,4,24,DEUGOV,DEU,GOV,,USAGOVAGR,USA,GOV,AGR,41,4,1,1,,39.76,-98.5,United States,,USA,571cee35421aa916c092c67c_5,http://article.wn.com/view/2016/04/24/Obama_talks_transAtlantic_trade_with_Germanys_Merkel/,wn_world
783363,783363,1097070_v0.2.0,20150605,2015,6,5,EGY,EGY,,,SYRCVL,SYR,CVL,,51,5,1,3.4,,35,38,Syrian Arab Republic,,SYR,5571b903421aa92b0a7277de_5,http://www.bbc.co.uk/news/world-europe-33020600,
689335,689335,1003013_v0.2.0,20150506,2015,5,6,MYS,MYS,,,MMR,MMR,,,173,17,4,-5,,2.5,112.5,Malaysia,,MYS,554a17b2421aa91c3dd087d8_5;554a290c421aa91c262a9bb1_5;5549bbd7421aa960d834d872_5;554aa4c2421aa91c760a9561_5;554a8eca421aa91c3dd08ad1_5;554a962f421aa91c6f6344eb_5;554a1a76421aa91c18d0067a_5;554ab344421aa91c18d008d2_5;554aa4c2421aa91c3dd08b23_5;554a8eca421aa91c50f85c80_5;554a379a421aa91c6f63436c_5;554aa4c2421aa91c262a9da3_5,http://www.voanews.com/content/bollywood-star-guilty-in-2002-hit-and-run-case/2750963.html;http://www.voanews.com/content/ap-scientific-study-beatles-stones-eclipsed-by-hip-hop-impact/2752212.html;http://www.voanews.com/content/california-regulators-approve-mandatory-water-restrictions/2750944.html;http://www.voanews.com/content/ap-israel-netanyahu-forms-government/2753179.html;http://www.voanews.com/content/yemen-shiite-rebels-take-neighborhood-in-aden-occupy-palace/2752845.html;http://www.voanews.com/content/ap-macedonia-protests/2752876.html;http://www.voanews.com/content/ap-engineers-inspect-quake-damaged-homes-in-nepals-capital/2751034.html;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGrkSXWrb7TmzhZmYyUFsMb_JEi4g&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52778827910657&ei=iLJKVciRHM_p3AGipICAAw&url=http://www.voanews.com/content/ap-israel-netanyahu-forms-government/2753179.html;http://www.voanews.com/content/islamic-state-breaches-perimeter-of-iraqi-oil-refinery/2753182.html;http://www.voanews.com/content/ap-prominent-iran-human-rights-activist-narges-mohammadi-detained/2752838.html;http://www.voanews.com/content/greece-makes-222-million-interest-payment-to-imf/2752290.html;http://www.voanews.com/content/us-navy-ships-hormuz-straight-iran/2753211.html,voa_all;voa_all;voa_all;voa_all;voa_all;voa_all;voa_asia;google;voa_all;voa_all;voa_all;voa_all
136739,136739,454028,20140808,2014,8,8,PSEREBHMS,PSE,REB,HMS,EGY,EGY,,,871,8,2,9,"NAMED_TERROR_GROUP,8",NA,NA,,,,53e557dcbfd1097cec68eddc_6,http://article.wn.com/view/2014/08/08/Israel_Hamas_resume_hostilities_after_3day_Gaza_truce/,wn_world
1340453,1340453,1705758_v0.2.0,20151004,2015,10,4,RUS,RUS,,,SYR,SYR,,,46,4,1,7,,35,38,Syrian Arab Republic,,SYR,5656eed6421aa90b01cbbaf4_0,http://www.todayszaman.com/world_monday-talk_candar-turkey-might-be-torn-apart-if-current-kurdish-policy-continues_400600.html,zaman
1308482,1308482,1673779_v0.2.0,20151119,2015,11,19,NOR,NOR,,,IMGMUSISI,IMG,,MUS;ISI,10,1,0,0,,NA,NA,,,,564df942421aa93db81d60eb_1,http://www.scmp.com/news/china/diplomacy-defence/article/1880713/drifter-who-thrived-insecurity-chinese-hostage-killed,china_scmp_china
289484,289484,406684_v0.2.0,20141026,2014,10,26,USAMIL,USA,MIL,,USA,USA,,,72,7,2,8.3,,39.76,-98.5,United States,,USA,544cf168bfd109497c7de11e_6;544d81bfbfd10960cfb201d1_6;544d6199bfd1095b4c32de5a_6;544d0f1fbfd1094dedaf1d5e_6;544cd4b3bfd109440907d46b_6;544cf128bfd109497c7de11c_6;544cf14abfd109497c7de11d_6,http://article.wn.com/view/2014/10/26/Syrian_Airstrikes_Kill_at_Least_25/;http://article.wn.com/view/2014/10/26/Islamic_State_Renews_Attacks_on_Kobani/;http://article.wn.com/view/2014/10/26/Saudi_women_s_driving_campaign_a_success_Activists/;http://article.wn.com/view/2014/10/26/More_US_air_strikes_target_Islamic_State_fighters_in_Syria_a_j/;http://article.wn.com/view/2014/10/26/Syria_regime_air_strikes_kill_11_children_monitor/;http://article.wn.com/view/2014/10/26/Iraqi_forces_seize_four_villages_after_victory_near_Baghdad/;http://article.wn.com/view/2014/10/26/Iraqi_Forces_Seize_4_Villages_After_Victory_Near_Baghdad/,wn_mideast;wn_world;wn_mideast;wn_world;wn_mideast;wn_mideast;wn_mideast
1044326,1044326,1358120_v0.2.0,20150901,2015,9,1,DEU,DEU,,,CHE,CHE,,,43,4,1,2.8,"NATURAL_DISASTER,1",48.20849,16.37208,Vienna,,AUT,55e492fe421aa941344e72c6_0,http://www.thestar.com.my/News/World/2015/09/01/Hundreds-of-refugees-arrive-in-Vienna-switch-trains-towards-Germany,malstar_world
1849178,1849178,2264778_v1.2.0,20160520,2016,5,20,USA,USA,,,ISR,ISR,,,60,6,2,6,,NA,NA,,,,573f6727421aa92d92c22582_2,http://article.wn.com/view/2016/05/20/Gov_Shumlin_Statement_on_Drop_in_Unemployment_Rate_The_Offic/,wn_politics
739189,739189,1052882_v0.2.0,20150522,2015,5,22,GBR,GBR,,,UGA,UGA,,,73,7,2,7.4,"LITERACY,1",NA,NA,,,,555fa8e3421aa95f05e75505_4,http://www.monitor.co.ug/OpEd/Commentary/Prof-Baryamureeba-for-president--My-father-would-vote-him/-/689364/2725666/-/13ra9bsz/-/index.html,daily_monitor_uganda
