"","code","src_actor","month","tgt_actor","country_code","year","date8_val","id","source","date8","src_agent","latitude","src_other_agent","geoname","quad_class","source_text","root_code","tgt_other_agent","day","target","goldstein","tgt_agent","longitude","url"
"568","060","ITA","03","AFG","AFG","2017",2017-03-26 20:00:00,"5a83406dff261b48ad074638_4","ITA","20170327","","34.34817","","Herāt Herāt",2,"malstar_regional","06","","27","AFG",6,"","62.19967","http://www.thestar.com.my/news/regional/2017/03/28/nato-troops-try-to-boost-morale-of-afghan-troops/"
"569","080","USA","03","USA","USA","2017",2017-03-26 20:00:00,"5a834060ff261b48ad0745b6_1","USAGOVLEG","20170327","GOV","30.26715","LEG","Austin Texas",2,"sfgate_national","08","","27","USA",5,"","-97.74306","http://www.sfgate.com/news/texas/article/Texas-Senate-bans-some-insurance-coverage-of-11031606.php"
"570","163","FRA","03","IGO","GBR","2017",2017-03-26 20:00:00,"5a834060ff261b48ad0745b7_1","FRA","20170327","","54.75844","","United Kingdom of Great Britain and Northern Ireland ",3,"wn_asia","16","UNO","27","IGOUNO",-6.5,"","-2.69531","https://article.wn.com/view/2017/03/27/Forty_Countries_Boycotting_UN_Talks_Over_Potential_Nuclear_W/"
"571","140","NGA","03","NGA","NGA","2017",2017-03-26 20:00:00,"5a83406fff261b48ad07464c_1","NGALAB","20170327","","6.45407","LAB","Lagos Lagos State",4,"nigeria_vangard","14","","27","NGA",-6.5,"","3.39467","http://www.vanguardngr.com/2017/03/stakeholders-walk-promote-oral-hygiene-practices/"
"572","0351","CAN","03","","CAN","2017",2017-03-26 20:00:00,"5a834075ff261b48ad074680_2","CANGOV","20170327","GOV","45.41117","","Ottawa Ontario",1,"wn_world","03","LEG","27","---LEG",7,"","-75.69812","https://article.wn.com/view/2017/03/27/Canada_expected_to_legalise_marijuana_by_July_2018/"
"573","010","","03","","MYS","2017",2017-03-26 20:00:00,"5a834060ff261b48ad0745b9_1","---GOV","20170327","GOV","4.4953","","Pengkalan Baharu S.C. Perak",0,"sfgate_national","01","","27","---COP",0,"COP","101.1198","http://www.sfgate.com/news/crime/article/Police-Convict-asks-officers-to-kill-him-in-11031601.php"
"574","010","","03","","USA","2017",2017-03-26 20:00:00,"5a834060ff261b48ad0745b9_3","---COP","20170327","COP","34.00043",""," South Carolina",0,"sfgate_national","01","","27","---COP",0,"COP","-81.00009","http://www.sfgate.com/news/crime/article/Police-Convict-asks-officers-to-kill-him-in-11031601.php"
"575","112","","03","USA","USA","2017",2017-03-26 20:00:00,"5a834075ff261b48ad074685_1","---CVL","20170327","CVL","29.35635","","La Vernia Texas",3,"wn_world","11","","27","USAEDU",-2,"EDU","-98.11556","https://article.wn.com/view/2017/03/27/9_Texas_high_schoolers_charged_with_sex_assault_in_hazing_mn/"
"576","060","","03","","AUS","2017",2017-03-26 20:00:00,"5a83406fff261b48ad07464b_2","---GOV","20170327","GOV","-37.80639","","Kew State of Victoria",2,"malstar_regional","06","","27","---BUS",6,"BUS","145.03086","http://www.thestar.com.my/news/regional/2017/03/28/dragons-returning-to-london-after-230-years/"
"577","043","CHN","03","","CHN","2017",2017-03-26 20:00:00,"5a83406fff261b48ad07464b_6","CHN","20170327","","35","","People’s Republic of China ",1,"malstar_regional","04","LEG","27","---LEG",2.8,"","105","http://www.thestar.com.my/news/regional/2017/03/28/dragons-returning-to-london-after-230-years/"
"578","112","","03","","RUS","2017",2017-03-26 20:00:00,"5a83406fff261b48ad074645_1","---PPL","20170327","","60","PPL","Russian Federation ",3,"wn_world","11","","27","---GOV",-2,"GOV","100","https://article.wn.com/view/2017/03/27/23_people_ask_the_Justice_Department_to_launch_a_criminal_in/"
